gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\WGL_ARB_make_current_read.txt                      : Additions to Chapter 2 of the 1.2 GL Specification (OpenGL Operation)
gl ext spec\ARB\ARB_transpose_matrix.txt                           : Additions to Chapter 2 of the 1.2 OpenGL Specification (OpenGL Operation)
gl ext spec\3DFX\3DFX_multisample.txt                              : Additions to Chapter 2 of the 1.2 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_multisample.txt                                : Additions to Chapter 2 of the 1.2.1 Specification (OpenGL Operation)
gl ext spec\SUN\SUN_mesh_array.txt                                 : Additions to Chapter 2 of the 1.3 GL Specification (OpenGL Operation)
gl ext spec\ARB\ARB_depth_texture.txt                              : Additions to Chapter 2 of the 1.3 Specification (OpenGL Operation)
gl ext spec\MESA\GLX_MESA_swap_control.txt                         : Additions to Chapter 2 of the 1.4 GL Specification (OpenGL Operation)
gl ext spec\ARB\ARB_vertex_buffer_object.txt                       : Additions to Chapter 2 of the 1.4 Specification (OpenGL Operation)
gl ext spec\EXT\EXT_blend_equation_separate.txt                    : Additions to Chapter 2 of the 1.5 GL Specification (OpenGL Operation)
gl ext spec\AMD\AMD_seamless_cubemap_per_texture.txt               : Additions to Chapter 2 of the 1.5 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_framebuffer_sRGB.txt                           : Additions to Chapter 2 of the 2.0 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Additions to Chapter 2 of the 2.1 Specification (OpenGL Operation)
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Additions to Chapter 2 of the GL 1.1 Specification
gl ext spec\APPLE\APPLE_element_array.txt                          : Additions to Chapter 2 of the GL Specification (OpenGL Operation)
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Additions to Chapter 2 of the GLX 1.3 Specification (GLX Operation)
gl ext spec\NV\NV_present_video.txt                                : Additions to Chapter 2 of the GLX 1.4 Specification (GLX Operation)
gl ext spec\APPLE\APPLE_vertex_array_range.txt                     : Additions to Chapter 2 of the OpenGL 1.1 Specification (OpenGL Operation)
gl ext spec\ATI\ATI_texture_env_combine3.txt                       : Additions to Chapter 2 of the OpenGL 1.2 Specification (OpenGL Operation)
gl ext spec\3DFX\3DFX_texture_compression_FXT1.txt                 : Additions to Chapter 2 of the OpenGL 1.2.1 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_matrix_palette.txt                             : Additions to Chapter 2 of the OpenGL 1.2.1 Specification (Operation)
gl ext spec\ATI\ATI_envmap_bumpmap.txt                             : Additions to Chapter 2 of the OpenGL 1.2.1 Specification (Operation):
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 2 of the OpenGL 1.3 Specification
gl ext spec\AMD\AMD_compressed_ATC_texture.txt                     : Additions to Chapter 2 of the OpenGL 1.3 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_fragment_shader.txt                            : Additions to Chapter 2 of the OpenGL 1.4 Specification (OpenGL Operation)
gl ext spec\OES\OES_point_size_array.txt                           : Additions to Chapter 2 of the OpenGL 1.5 specification
gl ext spec\APPLE\APPLE_object_purgeable.txt                       : Additions to Chapter 2 of the OpenGL 1.5 Specification
gl ext spec\ARB\ARB_draw_buffers.txt                               : Additions to Chapter 2 of the OpenGL 1.5 Specification (OpenGL Operation)
gl ext spec\EXT\EXT_draw_instanced.txt                             : Additions to Chapter 2 of the OpenGL 2.0 Specification
gl ext spec\APPLE\APPLE_flush_buffer_range.txt                     : Additions to Chapter 2 of the OpenGL 2.0 Specification (Buffer Objects)
gl ext spec\3DL\WGL_3DL_stereo_control.txt                         : Additions to Chapter 2 of the OpenGL 2.0 Specification (OpenGL Operation)
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Additions to Chapter 2 of the OpenGL 2.1 Specification
gl ext spec\ARB\ARB_map_buffer_range.txt                           : Additions to Chapter 2 of the OpenGL 2.1 Specification (Buffer Objects)
gl ext spec\AMD\AMD_name_gen_delete.txt                            : Additions to Chapter 2 of the OpenGL 2.1 Specification (OpenGL Operation)
gl ext spec\AMD\AMD_debug_output.txt                               : Additions to Chapter 2 of the OpenGL 3.0 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_copy_buffer.txt                                : Additions to Chapter 2 of the OpenGL 3.0 Specification (Rasterization)
gl ext spec\ARB\ARB_depth_clamp.txt                                : Additions to Chapter 2 of the OpenGL 3.1 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Additions to Chapter 2 of the OpenGL 3.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_robustness.txt                                 : Additions to Chapter 2 of the OpenGL 3.2 (Compatibility Profile) Specification (OpenGL Operation)
gl ext spec\ARB\ARB_viewport_array.txt                             : Additions to Chapter 2 of the OpenGL 3.2 (Compatibility) Specification (OpenGL Operation)
gl ext spec\ARB\ARB_timer_query.txt                                : Additions to Chapter 2 of the OpenGL 3.2 (Core Profile) Specification
gl ext spec\NV\NV_path_rendering.txt                               : Additions to Chapter 2 of the OpenGL 3.2 (unabridged) Specification
gl ext spec\ARB\ARB_texture_storage.txt                            : Additions to Chapter 2 of the OpenGL 3.2 Core Profile Specification
gl ext spec\ARB\ARB_occlusion_query2.txt                           : Additions to Chapter 2 of the OpenGL 3.2 Specification
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Additions to Chapter 2 of the OpenGL 3.2 Specification (Compatibility Profile) (OpenGL Operation)
gl ext spec\ARB\ARB_draw_indirect.txt                              : Additions to Chapter 2 of the OpenGL 3.2 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_bindless_texture.txt                           : Additions to Chapter 2 of the OpenGL 4.0 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_transform_feedback3_lines_triangles.txt        : Additions to Chapter 2 of the OpenGL 4.0 (Core) Specification (OpenGL Operation)
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Additions to Chapter 2 of the OpenGL 4.0 Compatibility Profile Specification (OpenGL Operation):
gl ext spec\ARB\ARB_debug_output.txt                               : Additions to Chapter 2 of the OpenGL 4.0 Core Specification
gl ext spec\ARB\ARB_ES2_compatibility.txt                          : Additions to Chapter 2 of the OpenGL 4.0 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_internalformat_query.txt                       : Additions to Chapter 2 of the OpenGL 4.1 (Core Profile) Specification
gl ext spec\AMD\AMD_blend_minmax_factor.txt                        : Additions to Chapter 2 of the OpenGL 4.1 (Core) Specification (OpenGL Operation)
gl ext spec\KHR\KHR_blend_equation_advanced.txt                    : Additions to Chapter 2 of the OpenGL 4.1 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_framebuffer_no_attachments.txt                 : Additions to Chapter 2 of the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_ES3_compatibility.txt                          : Additions to Chapter 2 of the OpenGL 4.2 (Compatibility Profile) Specification (OpenGL Operation)
gl ext spec\AMD\AMD_pinned_memory.txt                              : Additions to Chapter 2 of the OpenGL 4.2 (Core Profile) Specification
gl ext spec\AMD\AMD_query_buffer_object.txt                        : Additions to Chapter 2 of the OpenGL 4.2 (core) Specification (OpenGL Operation)
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 2 of the OpenGL 4.2 (Core) Specification (OpenGL Operation)
gl ext spec\KHR\KHR_debug.txt                                      : Additions to Chapter 2 of the OpenGL 4.2 Specification
gl ext spec\ARB\ARB_explicit_uniform_location.txt                  : Additions to Chapter 2 of the OpenGL 4.2 Specification (OpenGL Operation)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 2 of the OpenGL 4.4 (core) Specification (OpenGL Fundamentals)
gl ext spec\EXT\EXT_external_objects.txt                           : Additions to Chapter 2 of the OpenGL 4.5 Specification (OpenGL Fundamentals)
gl ext spec\ARB\ARB_buffer_storage.txt                             : Additions to Chapter 2 of the OpenGL Core Profile Specification, Version 4.3,
gl ext spec\OES\OES_draw_texture.txt                               : Additions to Chapter 2 of the OpenGL ES 1.0 Specification
gl ext spec\APPLE\APPLE_texture_format_BGRA8888.txt                : Additions to Chapter 2 of the OpenGL ES 1.1 Specification (OpenGL ES Operation)
gl ext spec\OES\OES_blend_equation_separate.txt                    : Additions to Chapter 2 of the OpenGL ES 1.1 Specification (OpenGL Operation)
gl ext spec\ANGLE\ANGLE_instanced_arrays.txt                       : Additions to Chapter 2 of the OpenGL ES 2.0 Specification
gl ext spec\ANGLE\ANGLE_texture_usage.txt                          : Additions to Chapter 2 of the OpenGL ES 2.0 Specification (OpenGL ES Operation)
gl ext spec\AMD\AMD_program_binary_Z400.txt                        : Additions to Chapter 2 of the OpenGL ES 2.0 Specification (OpenGL Operation)
gl ext spec\EXT\EXT_separate_shader_objects.gles.txt               : Additions to Chapter 2 of the OpenGL ES 2.0 Specification (OpenGL Operation):
gl ext spec\NV\NV_copy_buffer.txt                                  : Additions to Chapter 2 of the OpenGL ES 2.0 Specification (Rasterization)
gl ext spec\NV\NV_draw_instanced.txt                               : Additions to Chapter 2 of the OpenGL ES 2.0.25 Specification
gl ext spec\NV\NV_shadow_samplers_array.txt                        : Additions to Chapter 2 of the OpenGL ES 2.0.25 Specification (OpenGL ES Operation)
gl ext spec\OES\OES_shader_multisample_interpolation.txt           : Additions to Chapter 2 of the OpenGL ES 3.0 Specification
gl ext spec\EXT\EXT_draw_buffers_indexed.txt                       : Additions to Chapter 2 of the OpenGL ES 3.0 Specification (OpenGL ES Operation)
gl ext spec\APPLE\APPLE_clip_distance.txt                          : Additions to Chapter 2 of the OpenGL ES 3.0 Specification (OpenGL Operation)
gl ext spec\EXT\EXT_buffer_storage.txt                             : Additions to Chapter 2 of the OpenGL ES 3.1 Specification
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 2 of the OpenGL Shading Language (GLSL) Specification, version 4.20, (Overview of OpenGL Shading)
gl ext spec\AMD\AMD_shader_trinary_minmax.txt                      : Additions to Chapter 2 of the OpenGL Shading Language (GLSL) Specification, version 4.30, (Overview of OpenGL Shading)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 2 of the OpenGL Shading Language 1.20 Specification
gl ext spec\AMD\AMD_conservative_depth.txt                         : Additions to Chapter 2 of the OpenGL Shading Language 4.00.08 Specification (Overview of OpenGL Shading)
gl ext spec\ARB\ARB_compute_shader.txt                             : Additions to Chapter 2 of the OpenGL Shading Language Specification, Version
gl ext spec\SGI\SGI_fft.txt                                        : Additions to Chapter 2 of the OpenGL Specification (OpenGL Operation)
gl ext spec\FJ\FJ_shader_binary_GCCSO.txt                          : Additions to Chapter 2 of the OpenGL-ES 2.0 Specification (OpenGL ES Operation)
gl ext spec\ANGLE\ANGLE_program_binary.txt                         : Additions to Chapter 2 of the OpenGL-ES 2.0 Specification (OpenGL Operation)
gl ext spec\OES\OES_surfaceless_context.txt                        : Additions to Chapter 2 'OpenGL ES Operation' of the OpenGL ES 2.0 Specification:
gl ext spec\APPLE\APPLE_vertex_array_object.txt                    : Additions to Chapter 2, 3, 4 of the 1.1 Specification (OpenGL Operation,
gl ext spec\OES\OES_viewport_array.txt                             : Additions to Chapter 20 of the OpenGL ES 3.2 Specification (Context State Queries)
gl ext spec\ARB\ARB_clear_texture.txt                              : Additions to Chapter 22 of the OpenGL 4.3 (Core Profile) Specification
